_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment
1,Sri Aman,AMAN,22775M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.221860592,111.5256687,52.2518,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Seri Aman, Kg Muhibbah, Sri Aman, Sarawak."
2,Arau,ARAU,22701M001,Geodetic ground marker (circle plate with bolt) 3.547 meter stainless steel pillar on top of concrete based.,6.450158078,100.3973582,18.089,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Universiti Teknologi MARA, Kampus Arau, Perlis."
3,Ayer Lanas,AYER,22764M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.750245519,101.9514527,67.2625,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Maktab Rendah Sains Mara Ayer Lanas, Jeli, Kelantan."
4,Bandar Baharu,BABH,22721M002,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,5.146659094,100.5866014,9.0105,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Universiti Sains Malaysia, Nibong Tebal, Pulau Pinang."
5,Bahau,BAHA,22740M001,Geodetic ground marker (circle plate with bolt). 3 meter concrete monument.,2.80650725,102.4787827,67.3853,TRIMBLE NETR9,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Datuk Mansor, Bahau, Negeri Sembilan."
6,Banding,BAND,22796M001,BAND,5.55173828,101.3756859,263.4974,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Kompleks Pusat Perikanan Darat, Banding, Perak."
7,Banting,BANT,22720M003,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,2.825956588,101.5735033,8.7997,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Sg Manggis, Banting, Selangor."
8,BAYO,BAYO,22793M001,BAYO,5.2513378,100.8073269,20.8794,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Sungai Bayor, Perak."
9,Behrang,BEHR,22734M001,Geodetic ground marker (circle plate with bolt). 2.5 meter concrete monument.,3.765370483,101.5221091,68.732,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Institut Tanah dan Ukur Negara (INSTUN), Behrang Ulu, Perak."
10,Belaga,BELA,22780M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.045316194,114.0595404,218.1058,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Batu Keling, Sg. Asap, Sarawak."
11,Kota Belud,BELU,22768M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of concrete building.,6.417456603,116.5543474,63.7717,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Taun Gusi, Kota Belud, Sabah."
12,Bentong,BENT,22756M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete building.,3.526919897,101.9720091,114.8254,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Pejabat Daerah Bentong, Bentong Pahang."
13,Beaufort,BFOR,22765M001,Geodetic ground marker (circle plate with bolt). 3 meter stainless steel pillar on top of concrete building.,5.355860014,115.8541039,82.5784,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Beaufort, Beaufort, Sabah."
14,Bintulu,BIN1,Not obtained yet,BIN1,3.240318106,113.1933557,58.9545,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Kolej Vokasional Bintulu, Bintulu, Sarawak."
15,Cheneh Baru,CENE,22758M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of concrete building.,4.123094452,103.2976664,27.9931,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Cheneh Baru, Kemaman, Terengganu."
16,Cameron Highlands,CMRN,22728M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,4.424719678,101.4029687,1119.1932,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SK Ringlet, Cameron Highlands, Pahang."
17,Lahad Datu,DATU,22772M001,Geodetic ground marker (circle plate with bolt). 2 meter stainless steel pillar on top of the concrete building.,5.0273197,118.4207347,76.9321,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Sepagaya, Lahad Datu, Sabah."
18,Kg. Gajah,GAJA,22743M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.122289753,103.4770933,60.2063,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Padang Ragut Hijau, Jalan Mersing, Johor."
19,Geting,GET2,Not obtained yet,GET2,6.225972123,102.1514845,1.8393,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Lembaga Kemajuan Ikan Malaysia (LKIM), Kompleks Perikanan LKIM Getting, Pengkalan Kubor, Kelantan."
20,Gua Musang,GMUS,22761M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,4.862974663,102.0879354,125.9714,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Gua Musang, Kelantan."
21,Gerik,GRIK,22727M001,Geodetic ground marker (circle plate with bolt). 5 meter stainless steel pillar on top of the concrete roof.,5.439012541,101.2527427,149.1897,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Bangunan Persekutuan Gerik, Perak."
22,Gulau,GULA,Not obtained yet,GULA,6.024571933,100.937648,76.8356,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Gulau, Sik, Kedah."
23,Changkat Jering,JERI,Not obtained yet,JERI,4.758602944,100.7799796,14.1282,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Dato' Wan Ahmad Rasdi, Changkat Jering, Perak."
24,Johor Jaya,JHJY,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of tower.,1.536810606,103.9153095,39.1634,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Johor Jaya 1, Jalan Bakawali 39, Johor."
25,Jerantut,JRNT,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,3.924280461,102.3941219,79.5124,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Tengku Ampuan Hajah Afzan Pahang, Jerantut, Pahang."
26,JUPEM Melaka,JUML,Not obtained yet,JUML,2.211754672,102.3109756,19.7819,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Jabatan Ukur dan Pemetaan Malaysia, Melaka."
27,Keningau,KGAU,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.367552416,116.3092817,351.5787,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Keningau II, Keningau, Sabah."
28,Kuala Klawang,KLAW,Not obtained yet,Geodetic ground marker (circle plate with bolt). 6.0 meter concrete monument.,2.981509666,102.1866639,168.4775,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Maktab Rendah Sains Mara, Kuala Klawang, Negeri Sembilan."
29,Kuala Lipis,KLIP,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,4.176006055,102.1053676,97.3887,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Kuala Lanar, Kuala Lipis, Pahang."
30,Kota,KOTA,Not obtained yet,KOTA,2.507762422,102.134745,33.6831,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Astana Raja, Rembau, Negeri Sembilan."
31,Kapit,KPIT,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.007408684,113.0299062,79.7193,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Kapit No. 2, Kapit, Sarawak."
32,Kuala Krai,KRAI,22762M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.501993711,102.2468314,31.7061,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"MRSM Kuala Krai, Kelantan."
33,Kuala Rompin,KROM,Not obtained yet,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete building.,2.76306235,103.6229504,23.5762,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Sek. Men Teknik Sultan Ahmad Shah Rompin, Pahang"
34,Kuala Terengganu,KUAL,Not obtained yet,KUAL,5.318889548,103.1914556,54.9904,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jabatan Penyiaran Terengganu (RTM), Kuala Terengganu, Terengganu."
35,Kudat,KUDA,Not obtained yet,KUDA,6.911269097,116.9129496,65.8788,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Abdul Rahim II, Kudat, Sabah."
36,Kukup,KUKP,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.333275199,103.4843222,15.3528,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Jabatan Pengaliran dan Saliran Bandar Permas, Johor."
37,Labuan,LAB1,Not obtained yet,Geodetic ground marker (circle plate with bolt). On top of 9 meter concrete monument.,5.282641914,115.3477377,57.2332,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Tun Mustapha, Wilayah Persekutuan Labuan."
